Rowid_,OBJECTID,IN_FID,NEAR_FID,NEAR_DIST
,0,716,42,0.000000000000000
,0,717,42,0.000000000000000
,0,718,42,0.000000000000000
,0,719,42,0.000000000000000
,0,720,42,0.000000000000000
,0,721,42,0.000000000000000
,0,722,42,0.000000000000000
,0,723,42,0.000000000000000
,0,724,42,0.000000000000000
,0,725,42,0.000000000000000
,0,726,42,0.000000000000000
,0,727,42,0.000000000000000
,0,728,42,0.000000000000000
,0,729,42,0.000000000000000
,0,730,42,0.000000000000000
,0,731,42,0.000000000000000
,0,732,42,0.000000000000000
,0,733,40,0.000000000000000
,0,734,40,0.000000000000000
,0,735,40,0.000000000000000
,0,736,40,0.000000000000000
,0,737,40,0.000000000000000
,0,738,40,0.000000000000000
,0,739,40,0.000000000000000
,0,740,40,0.000000000000000
,0,741,40,0.000000000000000
,0,742,40,0.000000000000000
,0,743,40,0.000000000000000
,0,744,40,0.000000000000000
,0,745,40,0.000000000000000
,0,746,40,0.000000000000000
,0,747,40,0.000000000000000
,0,748,39,"52,184.090204948399000"
,0,749,39,"52,184.090204948399000"
,0,750,39,"52,184.090204948399000"
,0,751,39,"52,184.090204948399000"
,0,752,39,"52,184.090204948399000"
,0,753,39,"52,184.090204948399000"
,0,754,39,"52,184.090204948399000"
,0,755,39,"52,184.090204948399000"
,0,756,39,"52,184.090204948399000"
,0,757,39,"52,184.090204948399000"
,0,758,39,"52,184.090204948399000"
,0,759,39,"52,184.090204948399000"
,0,760,39,"52,184.090204948399000"
,0,761,39,"52,184.090204948399000"
,0,762,39,"52,184.090204948399000"
,0,763,39,"52,184.090204948399000"
,0,764,39,"52,184.090204948399000"
,0,765,39,"52,184.090204948399000"
,0,766,39,"52,184.090204948399000"
,0,767,39,"52,184.090204948399000"
,0,768,39,"52,184.090204948399000"
,0,769,39,"52,184.090204948399000"
,0,770,39,"52,184.090204948399000"
,0,771,39,"52,184.090204948399000"
,0,772,39,"52,184.090204948399000"
,0,773,39,"52,184.090204948399000"
,0,774,39,"52,184.090204948399000"
,0,775,39,"52,184.090204948399000"
,0,776,39,"52,184.090204948399000"
,0,777,39,"52,184.090204948399000"
,0,778,39,"52,184.090204948399000"
,0,779,39,"52,184.090204948399000"
,0,780,39,"52,184.090204948399000"
,0,781,39,"52,184.090204948399000"
,0,782,39,"52,184.090204948399000"
,0,783,39,"52,184.090204948399000"
,0,784,39,"52,184.090204948399000"
,0,785,39,"52,184.090204948399000"
,0,786,39,"52,184.090204948399000"
,0,787,39,"16,234.795751980464000"
,0,788,38,"4,259.157774108905000"
,0,789,38,"4,259.157774108905000"
,0,790,38,"4,259.157774108905000"
,0,791,38,"4,259.157774108905000"
,0,792,38,"4,259.157774108905000"
,0,793,38,"4,259.157774108905000"
,0,794,38,"4,259.157774108905000"
,0,795,38,"4,259.157774108905000"
,0,796,38,"4,259.157774108905000"
,0,797,38,"4,259.157774108905000"
,0,798,38,"4,259.157774108905000"
,0,799,38,"4,259.157774108905000"
,0,800,38,"4,259.157774108905000"
,0,801,38,"4,259.157774108905000"
,0,802,38,"4,259.157774108905000"
,0,803,38,"4,259.157774108905000"
,0,804,38,"4,259.157774108905000"
,0,805,38,"4,259.157774108905000"
,0,806,38,"4,259.157774108905000"
,0,807,38,"4,259.157774108905000"
,0,808,38,"4,259.157774108905000"
,0,809,38,"4,259.157774108905000"
,0,810,38,"4,259.157774108905000"
,0,811,38,"4,259.157774108905000"
,0,812,39,"16,234.795751980464000"
,0,813,39,"16,234.795751980464000"
,0,814,39,"16,234.795751980464000"
,0,815,39,"16,234.795751980464000"
,0,816,39,"16,234.795751980464000"
,0,817,39,"16,234.795751980464000"
,0,818,39,"16,234.795751980464000"
,0,819,39,"16,234.795751980464000"
,0,820,39,"16,234.795751980464000"
,0,821,39,"16,234.795751980464000"
,0,822,39,"16,234.795751980464000"
,0,823,39,"16,234.795751980464000"
,0,824,39,"16,234.795751980464000"
