"","indivID2012","ageY","ageM","sex","relHH","relig","married","regionBorn","bioDadinHH","bioDadEduc","bioDadJob","bioMominHH","bioMomEduc","bioMomJob"
"626","0102070010111704",NA,48,1,3,NA,NA,1,1,8,13,1,5,8
"627","0102070010111705",13,NA,1,3,1,1,1,1,8,13,1,5,8
"628","0102070010114701",26,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA
"629","0102070010114702",16,NA,1,6,1,1,1,2,96,1,2,98,14
"630","0102070010117701",32,NA,1,1,1,2,1,NA,NA,NA,NA,NA,NA
"631","0102070010117702",27,NA,2,2,1,2,1,NA,NA,NA,NA,NA,NA
"632","0102070010117703",NA,54,2,3,NA,NA,1,1,26,12,1,25,11
"633","0102070010120701",24,NA,2,1,1,1,1,NA,NA,NA,NA,NA,NA
"634","0102070010123701",56,NA,2,1,1,4,1,NA,NA,NA,NA,NA,NA
"635","0102070010123702",20,NA,2,3,1,1,1,NA,NA,NA,NA,NA,NA
"636","0102070010126701",31,NA,1,1,1,2,1,NA,NA,NA,NA,NA,NA
"637","0102070010126702",25,NA,2,2,1,2,1,NA,NA,NA,NA,NA,NA
"638","0102070010126703",6,NA,1,3,NA,NA,1,1,34,1,1,32,12
"639","0102070010129701",42,NA,1,1,1,2,1,NA,NA,NA,NA,NA,NA
"640","0102070010129702",33,NA,2,2,1,2,1,NA,NA,NA,NA,NA,NA
"641","0102070010129703",11,NA,1,3,1,1,1,1,27,14,1,3,14
"642","0102070010129704",9,NA,2,3,NA,NA,1,1,27,14,1,3,14
"643","0102070010132701",40,NA,1,1,4,2,1,NA,NA,NA,NA,NA,NA
"644","0102070010132702",27,NA,2,2,4,2,1,NA,NA,NA,NA,NA,NA
"645","0102070010132703",9,NA,2,3,NA,NA,1,1,32,11,1,22,8
"646","0102070010132704",NA,54,2,3,NA,NA,1,1,32,11,1,22,8
"647","0102070010135701",35,NA,2,1,1,2,1,NA,NA,NA,NA,NA,NA
"648","0102070010135702",16,NA,2,3,1,2,13,2,34,13,1,30,2
"649","0102070010135703",10,NA,2,3,1,1,1,2,34,13,1,30,2
"650","0102070010135704",NA,48,2,3,NA,NA,1,2,34,13,1,30,2
"651","0102080060300401",75,NA,1,1,1,2,1,NA,NA,NA,NA,NA,NA
"652","0102080060300402",57,NA,2,2,1,2,1,NA,NA,NA,NA,NA,NA
"653","0102080060300403",30,NA,1,3,1,2,1,NA,NA,NA,NA,NA,NA
"654","0102080060300404",28,NA,1,3,1,1,1,NA,NA,NA,NA,NA,NA
"655","0102080060300405",20,NA,2,3,1,1,1,NA,NA,NA,NA,NA,NA
"656","0102080060300406",17,NA,2,3,1,1,1,1,98,1,1,98,1
"657","0102080060300407",14,NA,1,3,1,1,1,1,98,1,1,98,1
"658","0102080060301901",50,NA,2,1,1,6,1,NA,NA,NA,NA,NA,NA
"659","0102080060301902",23,NA,2,3,1,5,1,NA,NA,NA,NA,NA,NA
